trial,fold,F1 Score,Accuracy,Precision,Recall,Batch Size,Learning Rate,Optimizer,Scheduler,Accumulation Steps,Weight Decay
39,2,0.6797502869553208,0.6799935773924213,0.6801678515623814,0.6799935773924213,384,0.0011791767007379,AdamW,CosineAnnealingLR,1,0.0027149717112229
39,3,0.6759359723899178,0.6758731433159374,0.6764804871844236,0.6758731433159374,384,0.0011791767007379,AdamW,CosineAnnealingLR,1,0.0027149717112229
39,4,0.6834684517907053,0.6838217583299879,0.683470819793269,0.6838217583299879,384,0.0011791767007379,AdamW,CosineAnnealingLR,1,0.0027149717112229
39,5,0.6774940473319299,0.6776395022079487,0.6777483611510661,0.6776395022079487,384,0.0011791767007379,AdamW,CosineAnnealingLR,1,0.0027149717112229
19,1,0.6825205570217446,0.6824823378291587,0.683210876997119,0.6824823378291587,64,0.0035638692250341,AdamW,StepLR,8,0.0005790916300063
19,2,0.6804074691829597,0.6812780989081567,0.6800501647207762,0.6812780989081567,64,0.0035638692250341,AdamW,StepLR,8,0.0005790916300063
19,3,0.671721844276122,0.672260136491369,0.6720180758001177,0.672260136491369,64,0.0035638692250341,AdamW,StepLR,8,0.0005790916300063
19,4,0.6803697782474342,0.6804496186270574,0.6807611243194905,0.6804496186270574,64,0.0035638692250341,AdamW,StepLR,8,0.0005790916300063
19,5,0.6755192534523242,0.6760337213970293,0.6771745056229435,0.6760337213970293,64,0.0035638692250341,AdamW,StepLR,8,0.0005790916300063
99,1,0.6697159802601124,0.6696371226718048,0.6700096797358526,0.6696371226718048,512,0.0009661972582898,AdamW,StepLR,2,0.0011721048558063
99,2,0.6710983102415599,0.6718850353243416,0.6718284877094397,0.6718850353243416,512,0.0009661972582898,AdamW,StepLR,2,0.0011721048558063
99,3,0.6724379192526385,0.6729024488157367,0.6730677233441303,0.6729024488157367,512,0.0009661972582898,AdamW,StepLR,2,0.0011721048558063
99,4,0.6703149835808312,0.6710558008831794,0.6705209851558633,0.6710558008831794,512,0.0009661972582898,AdamW,StepLR,2,0.0011721048558063
99,5,0.6653978646184799,0.6655158570855079,0.6660597580260951,0.6655158570855079,512,0.0009661972582898,AdamW,StepLR,2,0.0011721048558063
33,1,0.6856960886530251,0.686014771997431,0.6862196739886361,0.686014771997431,64,0.0006478906925221,AdamW,StepLR,1,0.004425813801432
33,2,0.6779807915810682,0.6779865125240848,0.6785853285619836,0.6779865125240848,64,0.0006478906925221,AdamW,StepLR,1,0.004425813801432
33,3,0.6814365117990632,0.6819751103974308,0.682401231683282,0.6819751103974308,64,0.0006478906925221,AdamW,StepLR,1,0.004425813801432
33,4,0.6819143617220401,0.6822962665596146,0.6822700377605034,0.6822962665596146,64,0.0006478906925221,AdamW,StepLR,1,0.004425813801432
33,5,0.6813408418049959,0.6809313528703332,0.6827915000229021,0.6809313528703332,64,0.0006478906925221,AdamW,StepLR,1,0.004425813801432
42,1,0.6778333144915263,0.6784682080924855,0.6780257308637095,0.6784682080924855,64,0.0003509767252237,AdamW,StepLR,1,0.000336268769388
42,2,0.6720346037955995,0.6729287090558767,0.6719374779655072,0.6729287090558767,64,0.0003509767252237,AdamW,StepLR,1,0.000336268769388
42,3,0.6740510585515108,0.6741870734644722,0.6744426215736913,0.6741870734644722,64,0.0003509767252237,AdamW,StepLR,1,0.000336268769388
42,4,0.676596226746351,0.6769971898835809,0.6765731358740359,0.6769971898835809,64,0.0003509767252237,AdamW,StepLR,1,0.000336268769388
42,5,0.6786604708485031,0.678924126856684,0.6793429563730957,0.678924126856684,64,0.0003509767252237,AdamW,StepLR,1,0.000336268769388
41,1,0.682916190428455,0.6836062941554271,0.6833797732863452,0.6836062941554271,64,0.0008758842741285,AdamW,StepLR,1,0.0013950053612189
41,2,0.6810259268022204,0.6815189466923571,0.681244628313581,0.6815189466923571,64,0.0008758842741285,AdamW,StepLR,1,0.0013950053612189
41,3,0.680544521184269,0.681493376154155,0.6807726173819324,0.681493376154155,64,0.0008758842741285,AdamW,StepLR,1,0.0013950053612189
41,4,0.6841952209638696,0.6846246487354476,0.6847547015951391,0.6846246487354476,64,0.0008758842741285,AdamW,StepLR,1,0.0013950053612189
41,5,0.6838153706237473,0.6839823364110799,0.6841665439161063,0.6839823364110799,64,0.0008758842741285,AdamW,StepLR,1,0.0013950053612189
98,1,0.6810035137762784,0.6807161207450225,0.682567821278357,0.6807161207450225,256,0.0013829460372514,AdamW,StepLR,2,0.0019245566977018
98,2,0.6817360773134197,0.6816795118818241,0.6827274427397695,0.6816795118818241,256,0.0013829460372514,AdamW,StepLR,2,0.0019245566977018
98,3,0.6820232806065978,0.6826977117623444,0.6818356188021901,0.6826977117623444,256,0.0013829460372514,AdamW,StepLR,2,0.0019245566977018
98,4,0.6862269245589478,0.6874347651545564,0.6863765575058416,0.6874347651545564,256,0.0013829460372514,AdamW,StepLR,2,0.0019245566977018
98,5,0.6783900409015895,0.6786832597350462,0.6791398906768217,0.6786832597350462,256,0.0013829460372514,AdamW,StepLR,2,0.0019245566977018
20,1,0.5558370436483774,0.5606133590237636,0.5600465378336883,0.5606133590237636,64,9.860655958484494e-06,AdamW,StepLR,8,2.4219251310438056e-05
20,2,0.5508298487236337,0.5551541425818882,0.5536092589434685,0.5551541425818882,64,9.860655958484494e-06,AdamW,StepLR,8,2.4219251310438056e-05
